keys:  id  type  radius  x  y  z  vx  vy  vz  nx  ny  nz  nvx  nvy  nvz  area boundary
    0  1  0.93949  -3.7514669962e+00  2.3408989732e+01  0.0000000000e+00 -2.5540105e-04  -6.9817018e-04  0.0000000e+00  -0.837494   -0.546447    0.000000   0.000000    0.000000    1.000000  3.141592 	0
    1  1  0.88006  1.6825064792e+01  6.6626561916e+00  0.0000000000e+00 -8.0684306e-04  -1.7393478e-03  0.0000000e+00  -0.113363   -0.993554    0.000000   0.000000    0.000000    1.000000  3.141592 	0
    2  1  0.99365  4.1752639310e+00  -2.2592827262e+01  0.0000000000e+00 6.6528755e-04  -1.3901038e-04  0.0000000e+00   0.978682   -0.205383    0.000000   0.000000    0.000000    1.000000  3.141592 	0
    3  1  0.92264  1.2772145704e+01  -2.7145078918e+01  0.0000000000e+00 -1.9575748e-05  -3.4283798e-05  0.0000000e+00  -0.200850   -0.979622    0.000000   0.000000    0.000000    1.000000  3.141592 	0
    4  1  1.02106  4.6085705977e+00  -2.7497000295e+01  0.0000000000e+00 3.8954409e-04  -1.8617697e-05  0.0000000e+00  -0.193335   -0.981133    0.000000   0.000000    0.000000    1.000000  3.141592 	0
    5  1  0.90079  6.8717983888e+00  -1.0644472481e+01  0.0000000000e+00 1.2530196e-04  -3.9313343e-04  0.0000000e+00   0.232241   -0.972658    0.000000   0.000000    0.000000    1.000000  3.141592 	0
    6  1  0.95909  1.9917758833e+01  -6.4242694032e+00  0.0000000000e+00 -1.4738432e-03  2.9185952e-04  0.0000000e+00  -0.135640    0.990758    0.000000   0.000000    0.000000    1.000000  3.141592 	0
    7  1  1.05802  -1.7311834346e+01  1.5121218144e+01  0.0000000000e+00 -3.8196984e-04  -6.7803216e-04  0.0000000e+00  -0.208951    0.977926    0.000000   0.000000    0.000000    1.000000  3.141592 	0
    8  1  0.86429  -1.6173879452e+01  1.6537809212e+01  0.0000000000e+00 -6.9796367e-04  -3.2565657e-04  0.0000000e+00   0.772114    0.635484    0.000000   0.000000    0.000000    1.000000  3.141592 	0
    9  1  0.90964  2.2580443161e+00  -1.4510675152e+01  0.0000000000e+00 3.8053498e-04  -3.4468720e-04  0.0000000e+00   0.940587   -0.339554    0.000000   0.000000    0.000000    1.000000  3.141592 	0
   10  1  1.09432  -2.6367228178e+00  -1.8931199626e+01  0.0000000000e+00 9.3227499e-04  -4.1406516e-04  0.0000000e+00  -0.367437    0.930048    0.000000   0.000000    0.000000    1.000000  3.141592 	0
   11  1  1.04898  -8.1947696008e+00  8.8249365973e+00  0.0000000000e+00 5.3227105e-05  -7.8665520e-04  0.0000000e+00  -0.689008    0.724754    0.000000   0.000000    0.000000    1.000000  3.141592 	0
   12  1  0.88681  5.0264758177e-01  -1.4361649259e+01  0.0000000000e+00 3.8154460e-04  -3.6505849e-04  0.0000000e+00   0.593216   -0.805043    0.000000   0.000000    0.000000    1.000000  3.141592 	0
   13  1  1.14997  1.8649598255e+01  3.5251326651e+00  0.0000000000e+00 4.3604695e-03  2.3135942e-03  0.0000000e+00  -0.986016    0.166650    0.000000   0.000000    0.000000    1.000000  3.141592 	0
   14  1  0.86509  -1.1034360948e+00  2.9846388746e+01  0.0000000000e+00 -1.1826853e-03  -7.6202523e-04  0.0000000e+00  -0.907003   -0.421124    0.000000   0.000000    0.000000    1.000000  3.141592 	0
   15  1  0.92391  -1.8276224725e+01  2.0185621448e+01  0.0000000000e+00 -1.9127293e-04  -9.7029643e-05  0.0000000e+00  -0.665752    0.746173    0.000000   0.000000    0.000000    1.000000  3.141592 	0
   16  1  0.91878  -1.8113911994e+01  -5.4204811614e+00  0.0000000000e+00 5.8596716e-04  -6.4447159e-04  0.0000000e+00  -0.111127    0.993806    0.000000   0.000000    0.000000    1.000000  3.141592 	0
   17  1  1.00876  1.7955370035e+01  1.9786077865e-01  0.0000000000e+00 -2.4989950e-04  2.8379501e-03  0.0000000e+00   0.991224   -0.132194    0.000000   0.000000    0.000000    1.000000  3.141592 	0
